"","All Mean","All Median","All IQR Lower","All IQR Upper","Main Mean","Main Median","Main IQR Lower","Main IQR Upper","Cas Mean","Cas Median","Cas IQR Lower","Cas IQR Upper","OT Mean","OT Median","OT IQR Lower","OT IQR Upper"
"SF, Overall",8199.9447,9121,8999,9121,1.6761,2,1,2,144.7962,12,1,134,2059.3327,65,1,4514.25
"SF, Age: 15-24",8432.11133603239,9121,9028,9121,1.81831983805668,2,1,2,189.489372469636,35.5,2,196,1834.78593117409,1,1,4435
"SF, Age: 25-34",8229.03143133462,9107,8999,9121,1.82591876208897,2,1,2,115.234042553191,5,1,73,115.234042553191,5,1,73
"SF, Age: 35-44",8366.99448068239,9121,9064,9121,1.69342699448068,2,1,2,145.650777722027,14,1,147,145.650777722027,14,1,147
"SF, Age: 45-54",8432.99149574787,9121,9064,9121,1.5967983991996,1,1,2,173.410705352676,23,2,173,173.410705352676,23,2,173
"SF, Age: 55-64",7529.01629327902,9087.5,8660,9121,1.43839103869654,1,1,2,100.965885947047,3,1,61,100.965885947047,3,1,61
"SF, Black",8239.08985507246,9121,9017,9121,1.64154589371981,2,1,2,156.470048309179,18,1,157,156.470048309179,18,1,157
"SF, White",8189.72648171501,9121,8999,9121,1.68511979823455,2,1,2,141.748928121059,11,1,125,141.748928121059,11,1,125
"ATL, Overall",5159.4221,7081,12,7448,1.5173,1,1,2,8.0949,2,1,8,504.6359,1,1,789.75
"ATL, Age: 15-24",5165.77732793522,7091.5,29.75,7448,1.51568825910931,1,1,2,8.56376518218623,2,1,8,503.028340080972,1,1,738.75
"ATL, Age: 25-34",5205.17843326886,7082,420,7448,1.52466150870406,1,1,2,7.82446808510638,1,1,8,525.335589941973,1,1,913.25
"ATL, Age: 35-44",5247.46111389865,7095,689,7448,1.53286502759659,1,1,2,8.08379327646764,2,1,8,526.484194681385,1,1,911
"ATL, Age: 45-54",5124.91395697849,7080,5,7448,1.51225612806403,1,1,2,7.935967983992,1,1,8,481.520260130065,1,1,675
"ATL, Age: 55-64",5050.63289205703,7071,4,7448,1.50050916496945,1,1,2,8.08095723014257,2,1,8,485.814154786151,1,1,674.5
"ATL, Black",5182.11449275362,7078,54.75,7448,1.49710144927536,1,1,2,8.21400966183575,2,1,8,8.21400966183575,2,1,8
"ATL, White",5153.49861286255,7083,10,7448,1.52257250945776,1,1,2,8.06380832282472,2,1,8,8.06380832282472,2,1,8
